driver id,driver_role,driver_city_name,sign_up,sign_up_date,regular,regular_date,bind_car,bind_car_date,available,available_date,main_channel,car_factory_year,brand_id,inn_id,first_download_time,driver_first_trip_date,driver_last_trip_date,car_first_trip_date,acceptance,trips,,,,,,,,,
8470311823362,Driver from fleet,Riyadh,Sign up,16/12/2020,Regular,18/12/2020,Bind car,18/12/2020,Available,19/03/2021,Organic,2018,1014091,null,16/12/2020,20/01/2021,22/01/2021,20/01/2021,32,27,,,,,,,,,
8470311842205,Driver from fleet,Panama City,Sign up,09/12/2020,Regular,04/01/2021,Bind car,12/03/2021,Available,12/03/2021,Organic,2015,1014167,null,03/09/2020,12/01/2021,08/04/2021,12/03/2021,897,467,,,,,,,,,
8470311842215,Driver from fleet,Munich,Sign up,31/12/2020,Not regular,null,Bind car,31/12/2020,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311842386,Driver from fleet,Panama City,Sign up,09/09/2020,Regular,15/09/2020,Bind car,21/01/2021,Available,21/01/2021,Organic,2014,1014493,null,05/09/2020,23/01/2021,08/04/2021,23/01/2021,1399,948,,,,,,,,,
8470311842388,Driver from fleet,Panama City,Sign up,18/01/2021,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
8470311842445,Driver from fleet,Munich,Sign up,17/12/2020,Regular,21/12/2020,Bind car,04/01/2021,Available,13/01/2021,Organic,2008,1014309,null,09/09/2020,27/01/2021,13/04/2021,27/01/2021,1543,1030,,,,,,,,,
8470311842451,Driver from fleet,Panama City,Sign up,07/09/2020,Regular,26/09/2020,Bind car,04/10/2020,Available,04/10/2020,Organic,2015,1014478,null,07/09/2020,null,null,null,null,null,,,,,,,,,
8470311842465,Driver from fleet,Riyadh,Sign up,31/12/2020,Regular,02/01/2021,Bind car,31/12/2020,Not available,null,Fleet,2017,1014493,null,08/09/2020,11/01/2021,20/03/2021,11/01/2021,256,212,,,,,,,,,
8470311842468,Driver from fleet,Riyadh,Sign up,08/09/2020,Regular,08/09/2020,Bind car,30/03/2021,Available,30/03/2021,Organic,2010,1013980,null,08/09/2020,02/04/2021,02/04/2021,02/04/2021,14,12,,,,,,,,,
8470311842473,Driver from fleet,Riyadh,Sign up,16/12/2020,Regular,29/12/2020,Bind car,29/12/2020,Available,10/03/2021,Organic,2013,1013819,null,09/09/2020,14/01/2021,13/04/2021,14/01/2021,235,175,,,,,,,,,
8470311842506,Driver from fleet,Munich,Sign up,16/12/2020,Not regular,null,Not bind car,null,Not available,null,Organic,null,null,null,null,null,null,null,null,null,,,,,,,,,
